Circumference (in),Degrees per Inch (360°/Circumference),radius,,,,,,Circumference (in),Degrees per Inch (360°/Circumference),radius,,,Degrees per Inch (360°/Circumference),25 in spacing,,Degrees per Inch (360°/Circumference),40 in spacing,,,Degrees per Inch (360°/Circumference),80 in spacing,,Degrees per Inch (360°/Circumference),40 in spacing,,,Stuff
11.93805208,30.15567343,1.9,,,,,,11.30973355,31.83098862,1.8,,,31.83098862,27.3203125,,29.2944,40.0703125,,,29.2031402,80.46875,,29.2944,38.0625,,,
,,,,,,,,11.93805208,30.15567343,1.9,,,31.83098862,27.0546875,,29.2944,40.2890625,,,29.2031402,80.4375,,29.2944,38.0625,,,
,,,,,,,,12.56637061,28.64788976,2,,,31.83098862,27.7578125,,29.2944,40.15625,,,29.2031402,80.46875,,29.2944,38.0625,,,
For radius 1.8,25 in center,,,,,,,13.82300768,26.04353614,2.2,,,31.83098862,27.46875,,29.2944,40.15625,,,29.03678363,80.15625,,29.2944,38.0703125,,38.00781,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,,30.15567343,25.6484375,,29.2944,40.125,,,29.03678363,79.99219,,29.2944,38.09375,,38,
1,35,0.546875,0.2734375,27,5,27.3203125,,Desired Degrees,linear equation,,,,30.15567343,25.75,,29.2031402,39.96875,,,29.03678363,80.0625,,29.275,38.00781,,38.05469,
2,56,0.875,0.4375,27,2,27.0546875,,25,29.2031,,,,30.15567343,25.71875,,29.2031402,40.0390625,,,,,,29.275,38,,38.07031,
3,55,0.859375,0.4296875,27,24,27.7578125,,,,,,,30.15567343,25.71875,,29.2031402,39.8984375,,,,,,29.275,38.05469,,38,
4,56,0.875,0.4375,27,15,27.46875,,,29.2944,,,,30.15567343,26.15625,,29.2031402,40,,,,,,29.275,38.07031,,,
5,56,0.875,0.4375,,,,,40 Inch Center,,,,,29.2944,25,,29.2031402,40.0078125,,,,,,29.275,38,,,
,,,,,,,,cir,deg,radius,,,29.2944,24.953125,,29.2031402,40,,,,,,29.2027,37.78125,,,
For radius 1.9,25 in center,,,,,,,12.32744142,29.2031402,1.961973237,,,29.2944,24.890625,,29.0158,39.625,,,,,,29.2027,37.75,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,,29.2944,24.9609375,,29.0158,39.63281,,,,,,29.2027,37.75,,,
1,27,0.421875,0.2109375,25,28,25.6484375,,,,1.962,,,29.2944,25.2109375,,29.0158,39.64063,,,,,,29.2027,37.75,,,
2,56,0.875,0.4375,25,24,25.75,,,,,,,28.64788976,24.2265625,,29.0158,39.64063,,,,,,,,,,
3,56,0.875,0.4375,25,23,25.71875,,80 Inch Center,,,,,28.64788976,24.3046875,,,,,,,,,,,,,
4,56,0.875,0.4375,25,23,25.71875,,cir,deg,radius,,,28.64788976,24.375,,,,,,,,,,,,,
5,56,0.875,0.4375,25,23,26.15625,,12.39806738,29.03678363,1.973213709,,,28.64788976,24.34375,,,,,,,,,,,,,
6,56,0.875,0.4375,,,,,,,,,,28.64788976,24.3515625,,,,,,,,,,,,,
,,,,,,,,,,1.962,,,26.04353614,22.0546875,,,,,,,,,,,,,
For radius 2.0,25 in center,,,,,,,,,,,,26.04353614,22,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,,26.04353614,22.03125,,,,,,,,,,,,,
1,56,0.875,0.4375,24,7,24.2265625,,,,,,,26.04353614,22.0390625,,,,,,,,,,,,,
2,55,0.859375,0.4296875,24,10,24.3046875,,,,,,,26.04353614,21.9921875,,,,,,,,,,,,,
3,56,0.875,0.4375,24,12,24.375,,,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,24,11,24.34375,,,,,,,,,,,,,,,,,,,,,
5,56,0.875,0.4375,24,11,24.3515625,,,,,,,,,,,,,,,,,,,,,
6,55,0.859375,0.4296875,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
For radius 2.2,25 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,,,,,,,,,,,,,,,,,,,,
1,55,0.859375,0.4296875,22,2,22.0546875,,,,,,,,,,,,,,,,,,,,,
2,56,0.875,0.4375,22,0,22,,,,,,,,,,,,,,,,,,,,,
3,56,0.875,0.4375,22,1,22.03125,,,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,22,1,22.0390625,,,,,,,,,,,,,,,,,,,,,
5,55,0.859375,0.4296875,22,0,21.9921875,,,,,,,,,,,,,,,,,,,,,
6,56,0.875,0.4375,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
For radius 1.956,25 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,56,0.875,0.4375,25,0,25,,0,25.003125,125,125.015625,,-0.02,,,,,,,,,,,,,,
2,56,0.875,0.4375,24,31,24.953125,,,25.0031,,,,,,,,,,,,,,,,,,
3,58,0.90625,0.453125,24,28,24.890625,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,24,31,24.9609375,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
5,57,0.890625,0.4453125,24,31,25.2109375,,40,25.003125,1000,1000.13,,-0.13,,,,,,,,,,,,,,
6,26,0.40625,0.203125,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,,,,,,,,,
For radius 1.956,40 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,54,0.84375,0.421875,40,3,40.0703125,,0,40.159375,200,200.796875,,-0.8,,,,,,,,,,,,,,
2,57,0.890625,0.4453125,40,9,40.2890625,,,,,,,,,,,,,,,,,,,,,
3,56,0.875,0.4375,40,5,40.15625,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,40,5,40.15625,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
5,56,0.875,0.4375,40,4,40.125,,40,40.125,1600,1605,,-5,,,,,,,,,,,,,,
6,56,0.875,0.4375,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,,,,,,,,,,,,,,,,,,,
For radius 1.962,40 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,56,0.875,0.4375,39,31,39.96875,,0,39.98567708,240,239.91,,0.09,,,,,,,,,,,,,,
2,56,0.875,0.4375,40,1,40.0390625,,,,,,,,,,,,,,,,,,,,,
3,55,0.859375,0.4296875,39,29,39.8984375,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,40,0,40,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
5,56,0.875,0.4375,40,0,40.0078125,,80,39.98567708,3200,3198.85,,1.15,,,,,,,,,,,,,,
6,55,0.859375,0.4296875,40,0,40,,,,,,,,,,,,,,,,,,,,,
7,55,0.859375,0.4296875,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
For radius 1.962,80 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,55,0.859375,0.4296875,80,15,80.46875,,0,80.45833333,240,241.38,,-1.38,,,,,,,,,,,,,,
2,55,0.859375,0.4296875,80,14,80.4375,,,,,,,,,,,,,,,,,,,,,
3,55,0.859375,0.4296875,80,15,80.46875,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,55,0.859375,0.4296875,,,,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
,.,,,,,,,40,80.45833333,3200,3218.33,,-18.33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,,,,,,,,,,,,,,,,,,,
